"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The best way I saw daydreaming explained is when I saw this scene in Parasite. The way they got lost in that memory… https://t.co/WKs15YgS59",FALSE,1,NA,2020-04-14 20:27:50,TRUE,NA,"1250158847605563401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heisenbering",0,FALSE,FALSE,NA,NA
"2","chung-sook is the mum of the kim family in parasite",FALSE,0,"ladalegolas",2020-04-14 06:20:55,FALSE,"1249945708540522497","1249945710981550081","1106806865013297152","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ladalegolas",0,FALSE,FALSE,NA,NA
"3","RT @lvl2roadman: After this sequence Ki-woo, Ki-jung, and Ki-taek must head home but the housekeeper (Chung-sook) will stay, this part of t…",FALSE,0,NA,2020-04-13 23:20:31,FALSE,NA,"1249839916642492417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skylahchan",1,TRUE,FALSE,NA,NA
"4","After this sequence Ki-woo, Ki-jung, and Ki-taek must head home but the housekeeper (Chung-sook) will stay, this pa… https://t.co/DTA0j1BAdB",FALSE,11,"lvl2roadman",2020-04-13 22:44:23,TRUE,"1249830821227139072","1249830822569480208","733098487869497344","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lvl2roadman",1,FALSE,FALSE,NA,NA
"5","Another observation is that, see how the Kims are waaaaay talented than the Parks. Kiwoo being better in English, K… https://t.co/SUIh8be4Il",FALSE,0,NA,2020-04-13 19:01:55,TRUE,NA,"1249774835816755208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Migusaurr",0,FALSE,FALSE,NA,NA
"6","But, having the taste of the lavish life, the Kims became really high up their asses that Chung-sook became ruthles… https://t.co/sTdTa4zxVA",FALSE,0,"Migusaurr",2020-04-13 17:48:53,TRUE,"1249756456716398593","1249756458213728256","1492762346","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Migusaurr",0,FALSE,FALSE,NA,NA
"7","RT @_glenl: you know that line in parasite when ki-taek said “she’s rich but still nice” and chung sook replied w “she’s nice because she’s…",FALSE,0,NA,2020-04-13 02:21:55,FALSE,NA,"1249523177895550976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clrslmngkra",1,TRUE,FALSE,NA,NA
"8","you know that line in parasite when ki-taek said “she’s rich but still nice” and chung sook replied w “she’s nice b… https://t.co/9kFSuh0V5s",FALSE,6,NA,2020-04-13 01:53:34,TRUE,NA,"1249516045024419840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_glenl",1,FALSE,FALSE,NA,NA
"9","RT @vulture: remember when chung-sook called ki-taek a cockroach? you see the entire family scurrying just like that — hunched over, crawli…",FALSE,0,NA,2020-04-11 06:27:22,FALSE,NA,"1248860174674284545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EsEnOh",11,TRUE,FALSE,NA,NA
"10","RT @vulture: remember when chung-sook called ki-taek a cockroach? you see the entire family scurrying just like that — hunched over, crawli…",FALSE,0,NA,2020-04-11 06:09:29,FALSE,NA,"1248855674072621057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruthafritap",11,TRUE,FALSE,NA,NA
"11","RT @vulture: remember when chung-sook called ki-taek a cockroach? you see the entire family scurrying just like that — hunched over, crawli…",FALSE,0,NA,2020-04-11 06:03:14,FALSE,NA,"1248854098796924929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kinginspanx",11,TRUE,FALSE,NA,NA
"12","RT @vulture: remember when chung-sook called ki-taek a cockroach? you see the entire family scurrying just like that — hunched over, crawli…",FALSE,0,NA,2020-04-11 05:05:44,FALSE,NA,"1248839628922195969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aguilar17_yris",11,TRUE,FALSE,NA,NA
