"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The cursed (2020) 9/10!!
The acting, the cinematography, the storyline 💯💯

(ps: the girl in the gif is da hye from… https://t.co/nwo8Oist0X",FALSE,1,NA,2020-04-16 23:17:14,TRUE,NA,"1250926252652818433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_atqhz",0,FALSE,FALSE,NA,NA
"2","RT @fentyfairies: sunghee kim photographed by kim hee june for singles magazine korea- march 2019
styled by da hye, makeup by jung su yeon,…",FALSE,0,NA,2020-04-16 17:19:07,FALSE,NA,"1250836129030352896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dumm99",93,TRUE,FALSE,NA,NA
"3","RT @ITZYofficial: HAPPY BIRTHDAY Ryujin

#HappyRyujinDay https://t.co/KCPEDtQRPG",FALSE,0,NA,2020-04-16 15:50:51,FALSE,NA,"1250813916164370432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","olhinhos_da_hye",65969,TRUE,FALSE,NA,NA
"4","@jinsovr old que eu sou same energy da hye......",FALSE,0,"jinsovr",2020-04-15 00:53:01,FALSE,"1250225433611767809","1250225583243567104","1194115068037861379","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hyegogh",0,FALSE,FALSE,NA,NA
"5","Da hye u filthy liar",FALSE,0,"1searbear",2020-04-14 22:16:17,FALSE,"1250185863948099585","1250186138893115395","1080266676791324672","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1searbear",0,FALSE,FALSE,NA,NA
"6","RT @HBMDESK: Welcome to Hotel Blue Moon, where we comfort lost souls, Ms. Jang Da Hye (@moonjdh91) ! Hoping to give you the satisfaction of…",FALSE,0,NA,2020-04-14 18:34:49,FALSE,NA,"1250130405832810496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moonsyq99",1,TRUE,FALSE,NA,NA
"7","Da Hye is a student struggling with English, Da song although a kid is trash with art, Mr. Park even though he owns… https://t.co/FCfFbPag43",FALSE,0,"Migusaurr",2020-04-13 19:01:55,TRUE,"1249774835816755208","1249774837247012864","1492762346","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Migusaurr",0,FALSE,FALSE,NA,NA
"8","I will love you like Young Soo loves Da Hye.",FALSE,0,NA,2020-04-13 19:01:48,FALSE,NA,"1249774809577213952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anbreykabol",0,FALSE,FALSE,NA,NA
"9","RT @fentyfairies: sunghee kim photographed by kim hee june for singles magazine korea- march 2019
styled by da hye, makeup by jung su yeon,…",FALSE,0,NA,2020-04-13 12:35:25,FALSE,NA,"1249677570225786880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__mbate",93,TRUE,FALSE,NA,NA
"10","Happy Birthday to today’s artist:🎂🎁🎈
April 13: 

Zion.T (Soloist): 4-13-1989 
Da Hye (ICE): 4-13-1994
Loudi (14U):… https://t.co/y7grvHZ66t",FALSE,2,NA,2020-04-12 15:05:44,TRUE,NA,"1249353013103398915",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","72Leslee33",0,FALSE,FALSE,NA,NA
"11","Everyone in parasite: 😙🥳🤪😉😤😁😴😳
Da Hye failing English:",FALSE,1,NA,2020-04-12 05:29:47,FALSE,NA,"1249208067776040962",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmeC2416",1,FALSE,FALSE,NA,NA
"12","da hye and ki woo .... that can't be legal",FALSE,0,"putellasmessiah",2020-04-11 23:43:33,FALSE,"1249114371827040257","1249120938450444289","1147759251667992576","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","putellasmessiah",0,FALSE,FALSE,NA,NA
"13","RT @fentyfairies: sunghee kim photographed by kim hee june for singles magazine korea- march 2019
styled by da hye, makeup by jung su yeon,…",FALSE,0,NA,2020-04-11 05:29:12,FALSE,NA,"1248845533185216513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isafiebing",93,TRUE,FALSE,NA,NA
