"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@rosebyan0thernm The age of consent in south korea is 20 so ki woo is possibly barely legal",FALSE,0,"rosebyan0thernm",2020-04-17 12:19:03,FALSE,"1251119572976939008","1251123002843881472","1143077584902619139","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrShadowL1nk",0,FALSE,FALSE,NA,NA
"2","@rosebyan0thernm Ki woo is in his early twenties and i cant find da hyes age all i find is that shes in high school",FALSE,0,"rosebyan0thernm",2020-04-17 12:17:24,FALSE,"1251119572976939008","1251122589600104449","1143077584902619139","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrShadowL1nk",0,FALSE,FALSE,NA,NA
"3","@rosebyan0thernm I found out ki woo is college age",FALSE,0,"rosebyan0thernm",2020-04-17 12:04:08,FALSE,"1251118420747104264","1251119249612894214","1143077584902619139","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrShadowL1nk",0,FALSE,FALSE,NA,NA
"4","Hey so uh what's the age difference between Ki Woo and Da-hye? Bc his friend didnt want to ask her out until she wa… https://t.co/6XGQC1SKLm",FALSE,0,NA,2020-04-17 07:28:53,TRUE,NA,"1251049982867566592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rosebyan0thernm",0,FALSE,FALSE,NA,NA
"5","RT @Mohantymanish22: @ShehbazBadesha @ShehbazBadesha apne jiju ko batao hamara trend 2.7m cross kar gaya he #DilSeSidNaaz  please please si…",FALSE,0,NA,2020-04-14 08:44:18,FALSE,NA,"1249981795858333696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShreyasMH",6,TRUE,FALSE,NA,NA
"6","RT @Mohantymanish22: @ShehbazBadesha @ShehbazBadesha apne jiju ko batao hamara trend 2.7m cross kar gaya he #DilSeSidNaaz  please please si…",FALSE,0,NA,2020-04-14 04:54:31,FALSE,NA,"1249923970725380101",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pratham52355472",6,TRUE,FALSE,NA,NA
"7","RT @Mohantymanish22: @ShehbazBadesha @ShehbazBadesha apne jiju ko batao hamara trend 2.7m cross kar gaya he #DilSeSidNaaz  please please si…",FALSE,0,NA,2020-04-14 04:54:06,FALSE,NA,"1249923866467512320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShehnazgillL",6,TRUE,FALSE,NA,NA
"8","@ShehbazBadesha @ShehbazBadesha apne jiju ko batao hamara trend 2.7m cross kar gaya he #DilSeSidNaaz  please please… https://t.co/zl50z4qEVZ",FALSE,0,"ShehbazBadesha",2020-04-14 04:53:24,TRUE,"1249920922745626624","1249923687991480326","1247139243408809985","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mohantymanish22",6,FALSE,FALSE,NA,NA
"9","@NtrArya 😳😳 hum to schoch rehe the ki woo actor hai sayad...",FALSE,2,"NtrArya",2020-04-14 04:21:22,FALSE,"1249915334070427648","1249915627562610691","1198991281940090880","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnuragK70719424",0,FALSE,FALSE,NA,NA
"10","⠀⠀⠀⠀⠀
⠀⠀⠀⠀#DOM: @tmc_jaewon 
           ━┉━━━┉━

⠀♞⠀ ⋮   Jaewon as Jeon Ki Woo﹐ welcome to Ｔａｍｎａ! Here's your first… https://t.co/zIwWdZMcUl",FALSE,0,NA,2020-04-13 12:04:50,TRUE,NA,"1249669875003297792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TamnaCityRP",0,FALSE,FALSE,NA,NA
