"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Indian Muslims are not homogeneous identity. Muslim politics in North India is largely dominated by the upper caste… https://t.co/5eyGxayz2A",FALSE,3,NA,2020-04-17 10:08:37,TRUE,NA,"1251090180376637442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bhaujan_connect",0,FALSE,FALSE,NA,NA
"2","Ee pakistani corona ki jung jeetny ke bad ameede bahar rakh salam to all pakistani Doctor Army police government wo… https://t.co/nDiUOJkoj9",FALSE,0,NA,2020-04-17 07:18:02,TRUE,NA,"1251047251796848642",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bhattianser11",0,FALSE,FALSE,NA,NA
"3","KI JUNG HAS BEEN ACKNOWLEDGED https://t.co/pwkM2otuLU",FALSE,0,NA,2020-04-17 02:04:21,FALSE,NA,"1250968308951760898",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UNIQzen_",0,FALSE,FALSE,NA,NA
"4","@Anummumtaz181 Dia kabhi nhi kisi ko likn wellcome to my courtesy i hope next time will be better now. Music ki jun… https://t.co/S2sPYmThSK",FALSE,1,"Anummumtaz181",2020-04-16 18:26:32,TRUE,"1250491783231963138","1250853096097492994","1217126728084152321","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohsanK13463581",0,FALSE,FALSE,NA,NA
"5","RT @dailykpopfever: BECAUSE THIS IS MY FIRST LIFE (2017)

• TVN
• 97% liked this
• Romcom
• 16 eps
• Lee Min Ki, Jung So Min
• To save mone…",FALSE,0,NA,2020-04-16 17:23:47,FALSE,NA,"1250837306287648771",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tiffany_rose___",1,TRUE,FALSE,NA,NA
"6","BECAUSE THIS IS MY FIRST LIFE (2017)

• TVN
• 97% liked this
• Romcom
• 16 eps
• Lee Min Ki, Jung So Min
• To save… https://t.co/jewaWseT5t",FALSE,3,"dailykpopfever",2020-04-16 17:12:48,TRUE,"1145164857685135360","1250834540555169792","1127425017103314944","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dailykpopfever",1,FALSE,FALSE,NA,NA
"7","justice for ms kim ki jung https://t.co/pTgDmJ5Pq8",FALSE,1,NA,2020-04-16 07:44:43,FALSE,NA,"1250691577384546305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rmaye_s",0,FALSE,FALSE,NA,NA
"8","RT @themorgannorris: That cigarette Ki Jung has in Parasite still looks like the absolute most needed cigarette in cinamatic history.",FALSE,0,NA,2020-04-16 04:34:45,FALSE,NA,"1250643772007833600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lail2289",1,TRUE,FALSE,NA,NA
"9","RT @kitty_magnet07: I rewatched parasite and just noticed how Ki Jung confuses dog food for human food further emphasizing the class divide…",FALSE,0,NA,2020-04-16 04:34:31,FALSE,NA,"1250643713681809408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lail2289",1,TRUE,FALSE,NA,NA
"10","RT @MikIsntJewish: Thinking about ki- jung from parasite 💕💛❣️❤️💕💘💛💖💛💝🧡💓❤️💗💞💛💕💛❣️🧡💖",FALSE,0,NA,2020-04-16 04:34:10,FALSE,NA,"1250643622959046656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lail2289",1,TRUE,FALSE,NA,NA
