"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @dimasharyow: #Parasite Movie Moments part 1 https://t.co/hJEJ4l01B8",FALSE,0,NA,2020-04-17 13:40:20,FALSE,NA,"1251143459605409794",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ang_dp",17,TRUE,FALSE,NA,NA
"2","RT @dimasharyow: #Parasite Movie Moments part 1 https://t.co/hJEJ4l01B8",FALSE,0,NA,2020-04-17 13:38:30,FALSE,NA,"1251142997338554375",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riraly_",17,TRUE,FALSE,NA,NA
"3","RT @hulu: Looking for more Bong Joon Ho after watching #Parasite?

Check out his other films:
🦠 The Host
👩‍👦 Mother
🐶 Barking Dogs Never Bi…",FALSE,0,NA,2020-04-17 13:29:54,FALSE,NA,"1251140832654004225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deriarahman",20,TRUE,FALSE,NA,NA
"4","RT @NasukiChan: Ki-jeong
#Parasite #pixelart https://t.co/9d6UVppEXZ",FALSE,0,NA,2020-04-17 13:28:52,FALSE,NA,"1251140571973865473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Iyanayatsux",322,TRUE,FALSE,NA,NA
"5","RT @aQuoteAday: Quarantine Day 1.
Quarantine Day 30. 
#Parasite https://t.co/th7UjHsvZ0",FALSE,0,NA,2020-04-17 13:27:22,FALSE,NA,"1251140196831092742",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mayerthemayor_",55,TRUE,FALSE,NA,NA
"6","RT @dimasharyow: #Parasite Movie Moments part 1 https://t.co/hJEJ4l01B8",FALSE,0,NA,2020-04-17 13:25:03,FALSE,NA,"1251139613428559873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adlynalin",17,TRUE,FALSE,NA,NA
"7","RT @aQuoteAday: Quarantine Day 1.
Quarantine Day 30. 
#Parasite https://t.co/th7UjHsvZ0",FALSE,0,NA,2020-04-17 13:19:56,FALSE,NA,"1251138324909010944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BEURMELORRI",55,TRUE,FALSE,NA,NA
"8","RT @dimasharyow: #Parasite Movie Moments part 1 https://t.co/hJEJ4l01B8",FALSE,0,NA,2020-04-17 13:18:45,FALSE,NA,"1251138026832461827",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yangter_dabest",17,TRUE,FALSE,NA,NA
"9","RT @DaiviPatel: #parasite spoilers out of context https://t.co/bcQTnLRytb",FALSE,0,NA,2020-04-17 13:11:00,FALSE,NA,"1251136076464508929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kurli_K",34,TRUE,FALSE,NA,NA
"10","RT @babygirlhotdog: Watched #parasite on Hulu finally...

-definitely worth the praise
-holy shit
-be grateful for what you have
-hoLY SHIT…",FALSE,0,NA,2020-04-17 13:10:38,FALSE,NA,"1251135984282017793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kurli_K",30,TRUE,FALSE,NA,NA
